cod_dpto,cod_mpio,Municipios,NBI
11,001,Bogotá,17.28
91,001,Leticia,50.07
91,263,CD. El Encanto,100.00
91,405,CD. La Chorrera,100.00
91,407,CD. La Pedrera,100.00
91,430,CD. La Victoria1,100.00
91,460,CD. Miriti-Parana,100.00
91,530,CD.Puerto Alegría2,100.00
91,536,CD. Puerto Arica3,100.00
91,540,Puerto Nariño,100.00
91,669,CD. Puerto Santander,100.00
91,798,CD. Tarapaca,100.00
05,001,Medellín,16.08
05,002,Abejorral,43.61
05,004,Abriaqui,45.56
05,021,Alejandría,56.46
05,030,Amaga,31.66
05,031,Amalfi,53.79
05,034,Andes,36.82
05,036,Angelopolis,38.23
05,038,Angostura,59.58
05,040,Anorí,68.06
05,042,Antioquia,54.56
05,044,Anza,70.15
05,045,Apartado,51.38
05,051,Arboletes,79.59
05,055,Argelia,59.90
05,059,Armenia,44.99
05,079,Barbosa,33.68
05,086,Belmira,35.14
05,088,Bello,16.30
05,091,Betania,41.22
05,093,Betulia,57.20
05,101,Bolívar,39.65
05,107,Briceño,73.12
05,113,Buritica,68.56
05,120,Cáceres,72.07
05,125,Caicedo,73.91
05,129,Caldas,18.25
05,134,Campamento,64.26
05,138,Cañasgordas,61.10
05,142,Caracolí,49.46
05,145,Caramanta,36.52
05,147,Carepa,57.91
05,148,Carmen De Viboral,35.39
05,150,Carolina,27.95
05,154,Caucasia,49.50
05,172,Chigorodó,58.18
05,190,Cisneros,34.66
05,197,Cocorná,62.08
05,206,Concepción,51.71
05,209,Concordia,49.64
05,212,Copacabana,20.90
05,234,Dabeiba,72.86
05,237,Don Matías,23.98
05,240,Ebejico,48.24
05,250,El Bagre,63.78
05,264,Entrerrios,23.38
05,266,Envigado,9.15
05,282,Fredonia,31.61
05,284,Frontino,54.44
05,306,Giraldo,53.86
05,308,Girardota,22.28
05,310,Gómez Plata,41.39
05,313,Granada,46.03
05,315,Guadalupe,59.90
05,318,Guarne,35.92
05,321,Guatapé,26.55
05,347,Heliconia,44.98
05,353,Hispania,41.65
05,360,Itagui,12.30
05,361,Ituango,75.39
05,364,Jardín,35.48
05,368,Jericó,29.80
05,376,La Ceja,20.45
05,380,La Estrella,18.58
05,390,La Pintada4,43.70
05,400,La Unión,28.45
05,411,Liborina,41.47
05,425,Maceo,48.48
05,440,Marinilla,29.39
05,467,Montebello,45.03
05,475,Murindó,99.91
05,480,Mutatá,69.60
05,483,Nariño,50.03
05,490,Necoclí,83.27
05,495,Nechí,66.88
05,501,Olaya,51.67
05,541,Peñol,32.93
05,543,Peque,81.23
05,576,Pueblorrico,38.81
05,579,Puerto Berrío,42.41
05,585,Puerto Nare (La Magdalena),49.47
05,591,Puerto Triunfo,46.20
05,604,Remedios,53.34
05,607,Retiro,25.94
05,615,Rionegro,17.57
05,628,Sabanalarga,62.55
05,631,Sabaneta,10.79
05,642,Salgar,46.07
05,647,San Andrés,54.90
05,649,San Carlos,53.60
05,652,San Francisco,76.57
05,656,San Jerónimo,39.69
05,658,San José De La Montaña,30.18
05,659,San Juan De Uraba,89.27
05,660,San Luis,58.25
05,664,San Pedro,30.58
05,665,San Pedro De Uraba,84.37
05,667,San Rafael,57.78
05,670,San Roque,53.83
05,674,San Vicente,56.27
05,679,Santa Bárbara,37.00
05,686,Santa Rosa De Osos,28.78
05,690,Santo Domingo,42.41
05,697,Santuario,31.72
05,736,Segovia,52.84
05,756,Sonson,34.93
05,761,Sopetrán,41.47
05,789,Támesis,33.57
05,790,Taraza,70.39
05,792,Tarso,46.32
05,809,Titiribí,40.76
05,819,Toledo,70.00
05,837,Turbo,70.12
05,842,Uramita,75.54
05,847,Urrao,58.80
05,854,Valdivia,65.19
05,856,Valparaíso,40.51
05,858,Vegachi,60.73
05,861,Venecia,36.34
05,873,Vigía Del Fuerte,94.70
05,885,Yali,61.15
05,887,Yarumal,39.98
05,890,Yolombó,43.54
05,893,Yondó,70.64
05,895,Zaragoza,68.86
81,001,Arauca,43.34
81,065,Arauquita,64.84
81,220,Cravo Norte,59.72
81,300,Fortul,71.47
81,591,Puerto Rondón,61.22
81,736,Saravena,45.33
81,794,Tame,57.68
08,001,Barranquilla,27.76
08,078,Baranoa,31.06
08,137,Campo de la Cruz,62.12
08,141,Candelaria,75.86
08,296,Galapa,35.11
08,372,Juan de Acosta,39.11
08,421,Luruaco,52.32
08,433,Malambo,35.89
08,436,Manatí,69.23
08,520,Palmar De Varela,53.68
08,549,Piojó,44.09
08,558,Polo Nuevo,41.08
08,560,Ponedera,52.68
08,573,Puerto Colombia,35.51
08,606,Repelón,61.13
08,634,Sabanagrande,42.66
08,638,Sabanalarga,36.18
08,675,Santa Lucia,67.67
08,685,Santo Tomas,48.01
08,758,Soledad,23.01
08,770,Suan,61.42
08,832,Tubará,41.92
08,849,Usiacurí,50.12
13,001,Cartagena,33.07
13,006,Achí5a,89.16
13,030,Altos del Rosario5,84.20
13,042,Arenal6,90.00
13,052,Arjona,61.07
13,062,Arroyohondo7,63.50
13,074,Barranco de Loba,79.40
13,140,Calamar,63.20
13,160,Cantagallo8,83.70
13,188,Cicuco9,75.70
13,212,Córdoba,83.99
13,222,Clemencia10,64.80
13,244,El Carmen de Bolívar,72.65
13,248,El Guamo,74.24
13,268,El Peñon11,84.20
13,300,Hatillo de Loba12,84.40
13,430,Magangue,64.32
13,433,Mahates,66.94
13,440,Margarita,84.76
13,442,Maria la Baja,70.46
13,458,Montecristo13,89.60
13,468,Mompos,52.30
13,473,Morales,86.11
13,549,Pinillos5a,84.03
13,580,Regidor14,94.30
13,600,Río Viejo,90.04
13,620,San Cristobal15,46.50
13,647,San Estanislao,65.57
13,650,San Fernando,83.89
13,654,San Jacinto,92.54
13,655,San Jacinto del Cauca16,89.60
13,657,San Juan Nepomuceno,61.71
13,667,San Martín de Loba,80.77
13,670,San Pablo,77.07
13,673,Santa Catalina,69.97
13,683,Santa Rosa,94.72
13,688,Santa Rosa del Sur,77.83
13,744,Simití,80.47
13,760,Soplaviento,57.32
13,780,Talaigua Nuevo,74.33
13,810,Tiquisio17,85.50
13,836,Turbaco,43.29
13,838,Turbaná,85.34
13,873,Villanueva,77.82
13,894,Zambrano,67.15
15,001,Tunja,19.39
15,022,Almeida,46.87
15,047,Aquitania,53.00
15,051,Arcabuco,40.63
15,087,Belén,41.99
15,090,Berbeo,64.90
15,092,Beteitiva,57.08
15,097,Boavita,51.33
15,104,Boyacá,53.79
15,106,Briceño,54.06
15,109,Buenavista,58.38
15,114,Busbanza,50.00
15,131,Caldas,43.67
15,135,Campohermoso,55.84
15,162,Cerinza,33.80
15,172,Chinavita,31.32
15,176,Chiquinquirá,28.17
15,180,Chiscas,59.13
15,183,Chita,69.66
15,185,Chitaraque,62.15
15,187,Chivata,43.23
15,189,Ciénega,43.33
15,204,Combita,38.29
15,212,Coper,58.97
15,215,Corrales,39.49
15,218,Covarachia,73.31
15,223,Cubara,78.41
15,224,Cucaita,49.12
15,226,Cuitiva,34.62
15,232,Chiquiza,60.11
15,236,Chivor,46.34
15,238,Duitama,16.58
15,244,El Cocuy,58.00
15,248,El Espino,46.50
15,272,Firavitoba,33.95
15,276,Floresta,46.53
15,293,Gachantiva,55.38
15,296,Gameza,47.00
15,299,Garagoa,26.74
15,317,Guacamayas,44.51
15,322,Guateque,25.30
15,325,Guayata,32.39
15,332,Guican,61.08
15,362,Iza,30.12
15,367,Jenesano,46.68
15,368,Jericó,69.88
15,377,Labranzagrande,81.18
15,380,La Capilla,34.58
15,401,La Victoria,71.02
15,403,La Uvita,50.50
15,407,Leiva,36.49
15,425,Macanal,44.13
15,442,Maripi,76.36
15,455,Miraflores,34.72
15,464,Mongua,49.68
15,466,Monguí,29.46
15,469,Moniquirá,41.43
15,476,Motavita,41.62
15,480,Muzo,49.09
15,491,Nobsa,14.40
15,494,Nuevo Colón,39.57
15,500,Oicata,39.43
15,507,Otanche,60.84
15,511,Pachavita,49.26
15,514,Páez,48.06
15,516,Paipa,24.41
15,518,Pajarito,51.06
15,522,Panqueba,54.72
15,531,Pauna,59.21
15,533,Paya,91.10
15,537,Paz del Río,32.25
15,542,Pesca,49.03
15,550,Pisba,84.54
15,572,Puerto Boyacá,39.28
15,580,Quipama,58.17
15,599,Ramiriquí,50.89
15,600,Ráquira,64.92
15,621,Rondón,52.13
15,632,Saboya,60.65
15,638,Sáchica,44.38
15,646,Samacá,40.31
15,660,San Eduardo,53.01
15,664,San José de Pare,41.71
15,667,San Luis de Gaceno,52.93
15,673,San Mateo,57.04
15,676,San Miguel de Sema,35.24
15,681,San Pablo de Borbur,51.36
15,686,Santana,40.87
15,690,Santa Maria,47.13
15,693,Santa Rosa de Viterbo,29.66
15,696,Santa Sofía,47.03
15,720,Sativanorte,57.22
15,723,Sativasur,39.99
15,740,Siachoque,50.58
15,753,Soata,54.00
15,755,Socota,70.09
15,757,Socha,38.77
15,759,Sogamoso,20.74
15,761,Somondoco,43.60
15,762,Sora,48.40
15,763,Sotaquirá,36.54
15,764,Soracá,54.35
15,774,Susacon,60.99
15,776,Sutamarchán,60.02
15,778,Sutatenza,39.02
15,790,Tasco,41.78
15,798,Tenza,29.76
15,804,Tibaná,50.25
15,806,Tibasosa,22.17
15,808,Tinjacá,58.83
15,810,Tipacoque,66.25
15,814,Toca,43.86
15,816,Toguí,54.64
15,820,Topaga,34.95
15,822,Tota,49.35
15,832,Tunungua,58.87
15,835,Turmequé,38.81
15,837,Tuta,38.24
15,839,Tutasa,60.70
15,842,Umbita,58.60
15,861,Ventaquemada,38.20
15,879,Viracacha,38.64
15,897,Zetaquira,51.85
17,001,Manizales,15.58
17,013,Aguadas,39.59
17,042,Anserma,27.40
17,050,Aranzazu,30.17
17,088,Belalcazar,40.16
17,174,Chinchiná,26.75
17,272,Filadelfia,32.65
17,380,La Dorada,30.84
17,388,La Merced,40.46
17,433,Manzanares,37.89
17,442,Marmato,38.62
17,444,Marquetalia,37.33
17,446,Marulanda,34.81
17,486,Neira,30.96
17,495,Norcasia18,60.84
17,513,Pacora,32.31
17,524,Palestina,36.60
17,541,Pensilvania,36.56
17,614,Riosucio,68.03
17,616,Risaralda,32.95
17,653,Salamina,29.47
17,662,Samana,56.30
17,665,San Jose19,35.20
17,777,Supía,36.33
17,867,Victoria,46.29
17,873,Villamaría,19.26
17,877,Viterbo,31.02
18,001,Florencia,36.23
18,029,Albania,57.40
18,094,Belén Andaquies,54.40
18,150,Cartagena del Chaira,76.02
18,205,Curillo,67.10
18,247,El Doncello,40.67
18,256,El Paujil,54.96
18,410,La Montañita,71.76
18,460,Milán,79.13
18,479,Morelia,49.84
18,592,Puerto Rico,74.78
18,610,San José de Fragua,64.88
18,753,San  Vicente del Caguan,81.49
18,756,Solano,77.56
18,785,Solita20,64.70
18,860,Valparaíso,63.00
85,001,Yopal,40.09
85,010,Aguazul,42.94
85,015,Chameza,39.59
85,125,Hato Corozal,57.31
85,136,La Salina,84.01
85,139,Maní,53.79
85,162,Monterrey,39.30
85,225,Nunchia,81.34
85,230,Orocue,75.19
85,250,Paz de Ariporo,57.46
85,263,Pore,64.61
85,279,Recetor,48.25
85,300,Sabanalarga,47.59
85,315,Sacama,63.49
85,325,San Luis de Palenque,66.92
85,400,Tamara,79.52
85,410,Tauramena,52.43
85,430,Trinidad,52.45
85,440,Villanueva,45.90
19,001,Popayán,22.17
19,022,Almaguer,76.91
19,050,Argelia,83.65
19,075,Balboa,61.66
19,100,Bolívar,66.77
19,110,Buenos Aires,61.07
19,130,Cajibio,66.60
19,137,Caldono,80.91
19,142,Caloto,50.85
19,212,Corinto,60.81
19,256,El Tambo,67.47
19,290,Florencia,57.74
19,318,Guapi,68.10
19,355,Inza,76.59
19,364,Jambaló,100.00
19,392,La Sierra,70.32
19,397,La Vega,79.39
19,418,López,64.20
19,450,Mercaderes,62.40
19,455,Miranda,40.00
19,473,Morales,78.49
19,513,Padilla,46.03
19,517,Páez,87.12
19,532,Patia (El Bordo),56.96
19,533,Piamonte21,78.80
19,548,Piendamo,47.51
19,573,Puerto Tejada,31.71
19,585,Purace,89.64
19,622,Rosas,62.90
19,693,San Sebastián,73.25
19,698,Santander de Quilichao,38.20
19,701,Santa Rosa,76.83
19,743,Silvia,80.03
19,760,Sotara,67.16
19,780,Suárez,70.23
19,785,Sucre22,71.40
19,807,Timbío,39.62
19,809,Timbiquí,77.82
19,821,Toribio,99.89
19,824,Totoro,85.66
19,845,Villa Rica23,51.50
20,001,Valledupar,42.73
20,011,Aguachica,51.99
20,013,Agustín Codazzi,56.50
20,032,Astrea,76.24
20,045,Becerril,71.16
20,060,Bosconia,64.09
20,175,Chimichagua,72.84
20,178,Chiriguaná,68.36
20,228,Curumaní,68.73
20,238,El Copey,61.03
20,250,El Paso,75.75
20,295,Gamarra,59.55
20,310,González,60.28
20,383,La Gloria,66.33
20,400,La Jagua Ibirico,71.81
20,443,Manaure Balcón Del Cesar,64.53
20,517,Pailitas,62.49
20,550,Pelaya24,68.50
20,570,Pueblo Bello25,71.00
20,614,Río De Oro,65.27
20,621,Robles (La Paz),59.11
20,710,San Alberto,44.89
20,750,San Diego,58.49
20,770,San Martín,60.63
20,787,Tamalameque24,69.54
23,001,Montería,49.72
23,068,Ayapel,74.56
23,079,Buenavista,71.67
23,090,Canalete,90.64
23,162,Cereté,55.33
23,168,Chima,69.66
23,182,Chinú,62.59
23,189,Cienaga De Oro,62.23
23,300,Cotorra26,76.90
23,350,La Apartada27,79.80
23,417,Lorica,70.60
23,419,Los Córdobas,87.70
23,464,Momil,73.43
23,466,Montelíbano,61.27
23,500,Moñitos,82.06
23,555,Planeta Rica,60.59
23,570,Pueblo Nuevo,74.43
23,574,Puerto Escondido,86.53
23,580,Puerto Libertador,77.11
23,586,Purísima,78.27
23,660,Sahagún,66.15
23,670,San Andrés Sotavento,92.31
23,672,San Antero,83.34
23,675,San Bernardo Viento,81.05
23,678,San Carlos,78.97
23,686,San Pelayo,73.11
23,807,Tierralta,78.49
23,855,Valencia,79.67
27,1,Quibdó,80.95
27,6,Acandi,68.63
27,25,Alto Baudo(Pie De Pato),99.15
27,50,Atrato28,94.30
27,73,Bagado,67.63
27,75,Bahia Solano (Mutis),41.22
27,77,Bajo Baudo (Pizarro),81.97
27,086,Belén de Bajirá29,
27,99,Bojaya (Bellavista),83.05
27,135,Canton De San Pablo30,80.40
27,150,Carmen Del Darien31,94.00
27,160,Certegui32,78.30
27,205,Condoto,88.34
27,245,El Carmen,46.53
27,250,Litoral Del San Juan,90.69
27,361,Istmina,80.55
27,372,Jurado,67.23
27,413,Lloro,93.31
27,425,Medio Atrato33,94.30
27,430,Medio Baudo (Boca De Pepe)34,91.10
27,450,Medio San Juan35,80.40
27,491,Novita,55.55
27,495,Nuqui,59.74
27,580,Rio Iro36,78.20
27,600,Rio Quito37,94.30
27,615,Riosucio,94.82
27,660,San Jose Del Palmar,72.18
27,745,Sipi,96.07
27,787,Tado,84.05
27,800,Unguia,74.66
27,810,Union Panamericana38,80.40
25,001,Agua de Dios,28.65
25,019,Alban,31.76
25,035,Anapoima,39.56
25,040,Anolaima,39.40
25,053,Arbelaez,40.57
25,086,Beltrán,48.28
25,095,Bituima,53.31
25,099,Bojacá,34.95
25,120,Cabrera,45.02
25,123,Cachipay,35.98
25,126,Cajicá,24.08
25,148,Caparrapí,61.08
25,151,Caqueza,38.96
25,154,Carmen de Carupa,46.75
25,168,Chaguaní,47.58
25,175,Chia,16.90
25,178,Chipaque,46.67
25,181,Choachí,32.17
25,183,Chocontá,37.14
25,200,Cogua,23.58
25,214,Cota,21.60
25,224,Cucunubá,36.18
25,245,El Colegio,32.78
25,258,El Peñón,71.75
25,260,El Rosal39,29.80
25,269,Facatativa,21.66
25,279,Fómeque,35.44
25,281,Fosca,54.01
25,286,Funza,26.15
25,288,Fúquene,32.72
25,290,Fusagasuga,27.24
25,293,Gachalá,41.28
25,295,Gachancipá,29.01
